No,Tahun,Daerah,ID,CHT-A,CHT-R,KFD,IKFD,Kode Kategori,Kode Kategori
176,2017,Kab. Bandung Barat,963302,4.739.965.967,4.739.965.967,859.829.218.655,"1,827",Tinggi,4
177,2017,Kab. Pangandaran,999002,4.153.047.647,4.153.047.647,470.099.781.498,"0,999",Sedang,3
178,2017,Provinsi Jawa Tengah,991141,204.138.059.180,204.138.059.180,3.472.079.202.535,"1,063",Tinggi,4
179,2017,Kab. Banjarnegara,991329,6.566.480.310,6.566.480.310,491.417.575.233,"1,044",Sedang,3
180,2017,Kab. Banyumas,991290,6.004.251.337,6.004.251.337,951.077.720.043,"2,021",Tinggi,4
181,2017,Kab. Batang,991202,6.192.528.904,6.192.528.904,431.445.604.307,"0,917",Sedang,3
182,2017,Kab. Blora,991286,8.957.096.150,8.957.096.150,454.187.692.583,"0,965",Sedang,3
183,2017,Kab. Boyolali,991396,17.395.059.686,17.395.059.686,623.522.147.259,"1,325",Tinggi,4
184,2017,Kab. Brebes,991223,6.337.043.239,6.337.043.239,882.216.543.010,"1,875",Tinggi,4
185,2017,Kab. Cilacap,991308,6.115.774.011,6.115.774.011,1.036.872.700.074,"2,204",Sangat Tinggi,5
186,2017,Kab. Demak,991176,13.262.253.918,13.262.253.918,668.997.095.447,"1,422",Tinggi,4
187,2017,Kab. Grobogan,991180,8.740.454.627,8.740.454.627,731.579.351.641,"1,555",Tinggi,4
188,2017,Kab. Jepara,991265,6.350.078.673,6.350.078.673,532.873.846.864,"1,132",Sedang,3
189,2017,Kab. Karanganyar,991422,9.684.197.607,9.684.197.607,591.641.703.366,"1,257",Tinggi,4
190,2017,Kab. Kebumen,991375,7.619.564.971,7.619.564.971,691.499.537.881,"1,47",Tinggi,4
191,2017,Kab. Kendal,991162,21.033.802.260,21.033.802.260,398.936.570.584,"0,848",Sedang,3
192,2017,Kab. Klaten,991382,15.688.333.046,15.688.333.046,601.515.429.480,"1,278",Tinggi,4
193,2017,Kab. Kudus,991244,151.181.818.787,151.181.818.787,598.582.715.579,"1,272",Tinggi,4
194,2017,Kab. Magelang,991333,16.095.396.217,16.095.396.217,625.212.275.516,"1,329",Tinggi,4
195,2017,Kab. Pati,991230,6.289.418.771,6.289.418.771,701.968.166.587,"1,492",Tinggi,4
196,2017,Kab. Pekalongan,991197,6.050.229.249,6.050.229.249,486.785.884.571,"1,035",Sedang,3
197,2017,Kab. Pemalang,991251,6.900.953.425,6.900.953.425,549.168.601.553,"1,167",Tinggi,4
198,2017,Kab. Purbalingga,991312,6.672.112.006,6.672.112.006,500.512.948.323,"1,064",Sedang,3
199,2017,Kab. Purworejo,991361,7.328.132.897,7.328.132.897,526.549.421.867,"1,119",Sedang,3
200,2017,Kab. Rembang,991272,15.504.169.619,15.504.169.619,341.820.132.296,"0,726",Sedang,3
201,2017,Kab. Semarang,991155,8.682.973.156,8.682.973.156,562.139.307.051,"1,195",Tinggi,4
202,2017,Kab. Sragen,991401,7.079.556.856,7.079.556.856,596.586.845.755,"1,268",Tinggi,4
203,2017,Kab. Sukoharjo,991418,7.117.831.761,7.117.831.761,459.206.330.921,"0,976",Sedang,3
204,2017,Kab. Tegal,991219,6.497.969.664,6.497.969.664,704.516.237.386,"1,497",Tinggi,4
205,2017,Kab. Temanggung,991340,31.247.626.569,31.247.626.569,470.873.612.590,"1,001",Sedang,3
206,2017,Kab. Wonogiri,991439,6.945.361.139,6.945.361.139,492.764.357.218,"1,047",Sedang,3
