id_pemda,nama_pemda,apbd_pra,apbd_pasca,trd_pra,trd_pasca,pad_pra,pad_pasca,totbl_covid,pad_transfer_pra,pad_transfer_pasca,pad_apbd_pra,pad_apbd_pasca
991223,"Kab. Brebes",3.29E+12,2.96E+12,2.38E+12,2.20E+12,3.99E+11,3.75E+11,1.26E+11,0.167487864,0.17041254,0.121041562,0.126827766
991308,"Kab. Cilacap",3.58E+12,3.02E+12,2.00E+12,1.74E+12,6.18E+11,5.46E+11,1.83E+11,0.309591827,0.31343506,0.17272583,0.18066077
991176,"Kab. Demak",2.40E+12,2.18E+12,1.31E+12,1.18E+12,4.04E+11,3.69E+11,52927139600,0.308805969,0.314122222,0.168460667,0.169289838
991180,"Kab. Grobogan",2.68E+12,2.38E+12,1.66E+12,1.50E+12,3.32E+11,3.32E+11,62864391000,0.199693973,0.220646334,0.123851224,0.139646849
991265,"Kab. Jepara",2.54E+12,2.05E+12,1.92E+12,1.73E+12,4.03E+11,3.86E+11,2.03E+11,0.209849938,0.223815735,0.158743796,0.188415326
991422,"Kab. Karanganyar",2.35E+12,2.15E+12,1.64E+12,1.48E+12,3.57E+11,3.40E+11,66273781000,0.217337349,0.230314907,0.152207982,0.15816496
991375,"Kab. Kebumen",3.04E+12,2.70E+12,2.20E+12,2.03E+12,4.18E+11,2.93E+11,34547459000,0.189510171,0.14431624,0.137216131,0.108278227
991162,"Kab. Kendal",2.45E+12,2.21E+12,1.91E+12,1.75E+12,4.25E+11,3.57E+11,34995369300,0.222418345,0.203685276,0.173462936,0.161768104
991382,"Kab. Klaten",2.91E+12,2.66E+12,2.14E+12,1.94E+12,3.05E+11,2.36E+11,83109918432,0.142008925,0.121250345,0.104751486,0.088693509
991244,"Kab. Kudus",1.91E+12,1.94E+12,1.28E+12,1.48E+12,3.79E+11,3.07E+11,88338163000,0.295049116,0.207551349,0.198120551,0.157707121
991333,"Kab. Magelang",2.72E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991230,"Kab. Pati",2.91E+12,2.75E+12,2.15E+12,1.95E+12,3.52E+11,3.52E+11,0,0.163746916,0.180098534,0.120904884,0.128088502
991197,"Kab. Pekalongan",2.45E+12,2.14E+12,1.66E+12,1.50E+12,4.67E+11,3.09E+11,52033402900,0.281493548,0.205680932,0.190798511,0.144114887
991251,"Kab. Pemalang",2.84E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991312,"Kab. Purbalingga",2.10E+12,1.88E+12,1.67E+12,1.54E+12,2.84E+11,2.71E+11,57167199000,0.170078787,0.175390576,0.13497811,0.143718282
991361,"Kab. Purworejo",2.48E+12,2.06E+12,1.80E+12,1.62E+12,3.27E+11,2.19E+11,59576250000,0.181445072,0.135062921,0.131507777,0.106116769
991272,"Kab. Rembang",2.05E+12,1.67E+12,1.13E+12,1.01E+12,3.07E+11,2.43E+11,71323823400,0.272669148,0.241603895,0.149568365,0.145973769
991155,"Kab. Semarang",2.46E+12,2.12E+12,0,1.47E+12,4.80E+11,2.92E+11,56330566500,#DIV/0!,0.198481093,0.195306907,0.138185089
991401,"Kab. Sragen",2.42E+12,2.27E+12,1.55E+12,1.39E+12,3.38E+11,3.08E+11,57842403880,0.218467392,0.221728634,0.139593934,0.135880407
991418,"Kab. Sukoharjo",2.40E+12,2.30E+12,1.29E+12,1.16E+12,3.32E+11,3.19E+11,2.08E+11,0.258024879,0.274759806,0.13833143,0.138695149
991219,"Kab. Tegal",2.91E+12,2.50E+12,2.07E+12,1.88E+12,4.51E+11,4.27E+11,1.51E+11,0.218053034,0.22740112,0.155117835,0.171094862
991340,"Kab. Temanggung",1.98E+12,1.85E+12,1.50E+12,1.34E+12,2.67E+11,2.42E+11,90869226900,0.178223419,0.180334457,0.13470364,0.131155871
991439,"Kab. Wonogiri",2.48E+12,2.28E+12,1.88E+12,1.70E+12,2.52E+11,2.23E+11,1.93E+11,0.133928082,0.131699551,0.10183607,0.098002293
991354,"Kab. Wonosobo",2.07E+12,1.86E+12,1.52E+12,1.38E+12,2.25E+11,1.88E+11,1.66E+11,0.147504436,0.136479102,0.10853496,0.101249207
991485,"Kota Magelang",1.01E+12,8.39E+11,6.09E+11,5.50E+11,2.55E+11,2.08E+11,74351683000,0.418987571,0.377844394,0.253490066,0.247657426
991464,"Kota Pekalongan",1.06E+12,9.11E+11,6.66E+11,5.96E+11,2.18E+11,1.48E+11,0,0.32737626,0.248413112,0.205658694,0.162447517
991450,"Kota Salatiga",1.01E+12,8.89E+11,5.86E+11,5.17E+11,2.28E+11,1.95E+11,0,0.389172136,0.377171805,0.226553859,0.219228128
991443,"Kota Semarang",5.32E+12,4.03E+12,1.82E+12,1.63E+12,2.52E+12,1.56E+12,0,1.386348216,0.95505518,0.47306874,0.386849959
991492,"Kota Surakarta",2.12E+12,1.95E+12,1.15E+12,1.03E+12,6.10E+11,6.10E+11,76509081569,0.531417475,0.593992617,0.287931061,0.313512069
991471,"Kota Tegal",1.30E+12,1.08E+12,7.02E+11,6.27E+11,3.33E+11,2.23E+11,0,0.474369325,0.355882607,0.256552206,0.206334568
991507,"Provinsi DI Yogyakarta",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
991511,"Kab. Bantul",2.49E+12,1.78E+12,1.59E+12,1.42E+12,4.70E+11,3.96E+11,89000000000,0.296192703,0.278021595,0.188643126,0.222353071
991532,"Kab. Gunung Kidul",2.21E+12,1.99E+12,1.59E+12,1.42E+12,2.46E+11,2.02E+11,0,0.155128419,0.142170026,0.11117184,0.101650158
991549,"Kab. Kulon Progo",1.80E+12,1.39E+12,1.49E+12,1.35E+12,2.48E+11,2.21E+11,33479348087,0.166934763,0.163793582,0.137760978,0.159014547
991528,"Kab. Sleman",3.04E+12,2.47E+12,1.43E+12,1.34E+12,9.44E+11,5.57E+11,0,0.659747998,0.414930812,0.31043703,0.225248593
